NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,PAKIRANJE,MARKA,MALOPRODAJNA_CIJENA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,5.89,5.89,2852057000000,Hrana,5.89
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,5.89,5.89,2891140000000,Hrana,5.89
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,5.89,5.89,2891145000000,Hrana,5.89
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,5.89,5.89,3858890930849,Hrana,5.89
Svježi pileæi batak,0006489,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,4.09,4.09,2852018000000,Hrana,4.09
Evropa Rahatlokum s ružom,0006552,0.4,400g,Kart. na prekl.,,1.79,4.48,5310002585265,Hrana,1.79
Èunga Lunga žvakaæe gume,0006554,0.035,35g,Pakovanje,,0.45,0.45,5310089004130,Hrana,0.45
Evropa Jadran vafli,0006555,0.3,300g,Pakovanje,,1.79,5.97,5310002700545,Hrana,1.79
"Domaæi rezanci s jajima, 400g",0006626,0.4,400g,Vrecica,Okusi zavièaja,1.27,3.18,20492311,Hrana,1.39
"BO Krafna marelica, 60g",0006663,0.06,60g,Rasuto,,0.55,9.17,3859888751293,Hrana,0.55
"Nutella, 1kg",0006686,1,1kg,Staklo,,9.49,9.49,4008400401829,Hrana,9.49
M&M's SK2,0007674,0.214,"187g,220g",Samost.vreca,,3.29,14.95,4011100005846,Hrana,3.29
M&M's SK2,0007674,0.214,"187g,220g",Samost.vreca,,3.29,17.59,5000159472005,Hrana,3.29
M&M's SK2,0007674,0.214,"187g,220g",Samost.vreca,,3.29,17.59,5000159484589,Hrana,3.29
Red Instant kava,0008422,0.2,200g,Staklo,Bellarom,4.75,23.75,20465902,Piæe,4.75
Studenac Gazirana mineralna voda ,0008473,6,"4x1,5l",PET-Boca,,2.29,0.38,3856022301499,Piæe,2.29
"Svježe pile, cca. 1,5kg",0008692,1,"ca. 1,5kg",Pakovanje,Naša mesnica,2.69,2.69,2108190000000,Hrana,3.09
"Odojak s glavom, cca. 2,3kg",0008752,1,"ca. 2,3kg",Atmos-Pakiranje,Naša mesnica,7.99,7.99,2113979000000,Hrana,7.99
"Mješavina èajnih peciva, RFA",0008919,1,1000g,Pakovanje,Sondey,8.09,8.09,20320041,Hrana,8.99
Mak mljeveni,0009017,0.2,200g,Vrecica,Belbake,1.59,7.95,20934804,Hrana,1.59
"Dodatak jelima, 1kg",0009045,1,1000g,Kozm.posudica,Kania,2.49,2.49,20360887,Hrana,2.49
"Svinjski file, cca. 400g",0009053,1,ca. 400g,Vakumir. pakov.,Naša mesnica,8.89,8.89,2123853000000,Hrana,8.89
Æevapèiæi,0009069,0.5,500g,Atmos-Pakiranje,Naša mesnica,3.79,7.58,20315573,Hrana,3.79
Æevapèiæi,0009071,1,1kg,Atmos-Pakiranje,Naša mesnica,4.89,4.89,20319571,Hrana,4.89
Coca Cola Zero 5+1 gratis,0009263,1.98,"6x0,33l",Limenka,Coca-Cola,5.25,2.65,5000112623475,Piæe,5.25
"Red Bull Energetski napitak, 250ml",0009328,0.25,"0,25l",Limenka,Red Bull,1.69,6.76,9002490100070,Piæe,1.69
Milka Choco Dess. Jaffa Jelly M. èo,0009678,0.128,128g,Pakovanje,,1.39,10.86,7622300479084,Hrana,1.39
Somat sjajilo za posuðe,0009733,0.506,500ml,Boca,,3.32,6.64,9000101072990,Sredstva za èišæenje,3.32
"Minas mljevena kava, 200g",0009877,0.2,200g,Vrecica,-,2.89,14.45,20278311,Piæe,2.79
"Alpska šunka u komadu, cca. 600g",0010237,1,ca. 600g,Vakumir. pakov.,Alpenfest,12.69,12.69,2810230000000,Hrana,12.69
"Alpska šunka u komadu, cca. 600g",0010237,1,ca. 600g,Vakumir. pakov.,Alpenfest,12.69,12.69,2810231000000,Hrana,12.69
"Alpska šunka u komadu, cca. 600g",0010237,1,ca. 600g,Vakumir. pakov.,Alpenfest,12.69,12.69,2810232000000,Hrana,12.69
"Alpska šunka u komadu, cca. 600g",0010237,1,ca. 600g,Vakumir. pakov.,Alpenfest,12.69,12.69,2810235000000,Hrana,12.69
"Alpska šunka u komadu, cca. 600g",0010237,1,ca. 600g,Vakumir. pakov.,Alpenfest,12.69,12.69,2868770000000,Hrana,12.69
"Grah s èilijem, ATG: 290g",0010404,0.42,425ml,Limenka,El Tequito,0.99,3.41,20122478,Hrana,0.99
Šunka narezana,0010707,0.1,100g,Atmos-Pakiranje,Dulano Selection,1.85,18.5,4056489114710,Hrana,1.85
Umak od rajèice,0010874,0.5,500g,Staklo,Combino,2.19,4.38,20003920,Hrana,2.19
"Mesnata slanina, dimljena",0010913,0.25,2x125g,Atmos-Pakiranje,Dulano,3.19,12.76,20064402,Hrana,3.19
Svinjske hrenovke u prir. ovitku,0011658,0.55,8x45g,Staklo,Alpenfest,3.89,10.81,20154974,Hrana,3.89
Kobasica SK13,0011790,0.2,200g,Atmos-Pakiranje,Dulano,2.39,11.95,20012571,Hrana,2.15
Kobasica SK13,0011790,0.2,200g,Atmos-Pakiranje,Dulano,2.39,11.95,20097264,Hrana,2.15
Narezana salama SK35,0011808,0.125,125g,Atmos-Pakiranje,Dulano,2.19,17.52,20030162,Hrana,2.19
Narezana salama SK35,0011808,0.125,125g,Atmos-Pakiranje,Dulano,2.19,17.52,20030179,Hrana,2.19
Mediteranski pršut SK24,0011818,0.1,100g,Atmos-Pakiranje,Dulano Selection,2.59,25.9,4056489115144,Hrana,2.59
Pileæa i pureæa prsa QS SK18,0011880,0.2,200g,Atmos-Pakiranje,Dulano,2.99,14.95,4056489115243,Hrana,2.99
Salsa umak SK8,0011890,0.31,"300g,315g",Staklo,Snack Day,1.59,5.05,20108618,Hrana,1.59
Krumpir salata SK2,0011924,1,1kg,Posudica,Alpenfest,2.89,2.89,4056489129851,Hrana,2.89
Azijska juha SK12,0012009,0.4,400ml,Limenka,Vitasia,1.39,3.48,20119706,Hrana,1.39
Slatka zaèinska paprika,0012050,0.05,50g,Staklo,Kania,1.09,21.8,20000295,Hrana,1.09
Smrznuto povræe za tavu SK21,0012083,0.75,750g,Vrecica,Freshona,2.99,3.99,4056489447801,Hrana,2.99
Premium jogurt SK15,0012564,0.15,150g,Posudica,Milbona,1.09,7.27,4056489516743,Hrana,1.09
Suhe brusnice,0012969,0.2,200g,Vrecica,Alesto Selection,2.15,10.75,4056489167051,Hrana,2.15
Belgijske praline,0018726,0.36,360g,Kart. na prekl.,J.D. Gross,5.49,15.25,20125486,Hrana,5.49
Penne Rigate,0019089,0.5,500g,Vrecica,Combino,1.09,2.18,20012151,Hrana,1.09
Filter za kavu No.4,0019145,0.185,100komad,Kart. na prekl.,Bellarom,1.29,0.01,20007539,Proizvodi za kuæanstvo,1.29
Mini pjenasti poljupci ,0019668,0.266,266g,Kart. na prekl.,Alpenfest,2.99,11.24,20005924,Hrana,2.99
Tjestenina s jajima,0019889,0.5,500g,Vrecica,Combino,1.99,3.98,4056489962540,Hrana,1.99
Hrskavi müsli SK2,0019931,0.6,600g,Kart. na prekl.,Crownfield,3.35,5.58,4056489209980,Hrana,3.35
Hrskavi müsli SK2,0019931,0.6,600g,Kart. na prekl.,Crownfield,3.35,5.58,4056489209997,Hrana,3.35
Kolaè od sira SK4,0021011,0.5,500g,Pakovanje,Alpenfest,2.59,5.18,20139872,Hrana,2.59
Sredstvo za èišæenje poda SK17,0021341,1.01,1l,PET-Boca,W5,1.85,1.85,20553258,Sredstva za èišæenje,1.85
Prawn Crackers,0021860,0.1,100g,Vrecica,Vitasia,1.59,15.9,20103767,Hrana,1.59
Sladoled štapiæ èoko crisp,0021903,0.504,6x120ml,Kart. na prekl.,Bon Gelati,4.99,6.93,4056489375104,Hrana,4.99
Mousse au Chocolat,0022530,0.24,4x60g,Posudica,Duc de Coeur,1.05,4.38,20020569,Hrana,1.05
Tart SK8,0022531,0.26,260g,Kart. na prekl.,Duc de Coeur,2.99,11.5,4056489032687,Hrana,2.99
"Sendviè keksi Choco Duo, UTZ",0022652,0.5,500g,Pakovanje,Sondey,2.29,4.58,20211141,Hrana,2.29
Hrskavi kruh SK5,0022865,0.25,250g,Pakovanje,Tastino,1.29,5.16,20171841,Hrana,1.29
Hrskavi kruh SK5,0022865,0.25,250g,Pakovanje,Tastino,1.29,5.16,4056489189121,Hrana,1.29
Pasta za pranje ruku,0022961,0.45,500ml,Pakovanje,W5,2.29,4.58,20203146,Sredstva za èišæenje,2.29
"Lassi tekuæi jogurt 3,5% SK2",0024629,0.25,250g,Posudica,Vitasia,0.99,3.96,20224851,Hrana,0.99
Corte alle Mura Chianti Riserva,0024692,0.75,"0,75l",Boca,,4.99,6.65,8002477051549,Piæe,4.99
Losion za sunè. sa šljokicama ZF 20,0024924,0.246,250ml,PET-Boca,Cien,3.99,15.96,20546472,Kozmetika,3.99
Svježi kozji sir,0025707,0.2,200g,Pakovanje,Duc de Coeur,2.99,14.95,20024918,Hrana,2.99
Pizza Arrabbiata,0025790,0.4,400g,Kart. na prekl.,Italiamo,2.99,7.48,20490690,Hrana,2.99
Ekstra djev. masl. ulje Delicato,0026466,0.916,1l,Boca,Primadonna,9.99,9.99,20500856,Hrana,9.99
Savijaèa od jabuke,0026475,0.6,600g,Kart. na prekl.,Confiserie Firenze,2.99,4.98,20096915,Hrana,2.99
"Trajno mlijeko bez lakt. 1,5% m.m.",0027036,1.028,1l,Pakovanje,Milbona,1.39,1.39,20221577,Hrana,1.39
Èokolada s grož. i cijelim lješ.,0027513,0.2,200g,Tabla,Fin Carré,2.99,14.95,20080181,Hrana,2.99
Mini Mix Sladoled na štapiæu SK6,0027551,0.432,12x50ml,Kart. na prekl.,Gelatelli,6.39,10.65,20066581,Hrana,6.39
Mini Mix Sladoled na štapiæu SK6,0027551,0.432,12x50ml,Kart. na prekl.,Gelatelli,6.39,10.65,4056489025702,Hrana,6.39
Côtes du Rhône AOP Villages,0027699,0.75,"0,75l",Boca,-,2.99,3.99,4056489114116,Piæe,2.99
Flips sa sirom,0028360,0.125,125g,Vrecica,Snack Day,0.99,7.92,20069483,Hrana,0.99
Chil. Carménere Reserva Privada ,0028606,0.75,"0,75l",Boca,Viajero,3.99,5.32,4056489540427,Piæe,3.99
Nuts Royal,0028673,0.2,200g,Vrecica,Alesto Selection,2.89,14.45,20047238,Hrana,2.89
Gel za brijanje ,0028839,0.2,200ml,Limenka,Cien MEN,2.09,10.45,20232269,Kozmetika,2.09
Gel za brijanje ,0028839,0.2,200ml,Limenka,Cien MEN,2.09,10.45,4056489431107,Kozmetika,2.09
Flaster SK7,0028901,0.023,"20komad,40komad",Pakovanje,Sensiplast,0.89,0.02,20084943,Proizvodi za kuæanstvo,0.89
Flaster SK7,0028901,0.023,"20komad,40komad",Pakovanje,Sensiplast,0.89,0.02,20084974,Proizvodi za kuæanstvo,0.89
Flaster SK7,0028901,0.023,"20komad,40komad",Pakovanje,Sensiplast,0.89,0.02,4056489235576,Proizvodi za kuæanstvo,0.89
Flaster SK7,0028901,0.023,"20komad,40komad",Pakovanje,Sensiplast,0.89,0.04,4056489235590,Proizvodi za kuæanstvo,0.89
Tortilja rolice SK1,0029069,0.125,125g,Vrecica,Snack Day,1.39,11.12,20211318,Hrana,1.39
Mladi grašak u rasolu (OM 265g),0029072,0.4,425ml,Limenka,Freshona,0.99,3.74,20192396,Hrana,0.99
Tal. sjeckana rajèica sa zaè. SK1,0029238,0.4,425ml,Limenka,Baresa,1.19,2.98,20198091,Hrana,1.19
Umak od rajèice s bosiljkom,0029251,0.7,720ml,Boca,Baresa,1.69,2.35,20164041,Hrana,1.69
Luèice slatko-kisele (OM 190g) ,0029440,0.32,370ml,Staklo,Freshona,1.15,6.05,20039981,Hrana,1.15
"Trajno mlijeko 2,8% m.m.",0030860,1,1l,Pakovanje,Pilos,0.79,0.79,3859888148925,Hrana,0.79
Desertni specijaliteti SK22,0030937,0.175,"2x85g,2x90g",Pakovanje,MCENNEDY,1.69,9.94,20020644,Hrana,1.69
Desertni specijaliteti SK22,0030937,0.175,"2x85g,2x90g",Pakovanje,MCENNEDY,1.69,9.39,20020644,Hrana,1.69
Desertni specijaliteti SK22,0030937,0.175,"2x85g,2x90g",Pakovanje,MCENNEDY,1.69,9.94,20809584,Hrana,1.69
Desertni specijaliteti SK22,0030937,0.175,"2x85g,2x90g",Pakovanje,MCENNEDY,1.69,9.39,20809584,Hrana,1.69
Desertni specijaliteti SK22,0030937,0.175,"2x85g,2x90g",Pakovanje,MCENNEDY,1.69,9.39,20809591,Hrana,1.69
Twist štap. od lis. tijesta slani,0031460,0.15,150g,Pakovanje,Snack Day,1.59,10.6,4056489108085,Hrana,1.59
"""Twist"" štap. od lis. tijesta sir ",0031462,0.15,150g,Pakovanje,Snack Day,1.43,9.53,4056489108078,Hrana,1.59
Extra džem od višnje SK2,0031562,0.45,450g,Staklo,Maribel,2.59,5.76,20000646,Hrana,2.59
Toffee mješavina ,0031722,0.3,300g,Vrecica,Sweet Corner,2.29,7.63,20230487,Hrana,2.29
Gazirano piæe od naranèe 3%,0031961,1.504,"1,5l",PET-Boca,Freeway,1.15,0.77,4304493269156,Piæe,1.15
"Svijetlo pivo 4,9%",0032276,0.503,"0,5l",Boca,Perlenbacher,0.99,1.98,4304493261433,Piæe,0.99
Snack kobasica Tirolska SK3,0032325,0.15,150g,Atmos-Pakiranje,Alpenfest,1.99,13.27,22288840,Hrana,1.99
Snack kobasica Tirolska SK3,0032325,0.15,150g,Atmos-Pakiranje,Alpenfest,1.99,13.27,22288880,Hrana,1.99
Snack kobasica Tirolska SK3,0032325,0.15,150g,Atmos-Pakiranje,Alpenfest,1.99,13.27,4056489115465,Hrana,1.99
Superieur èok. štapiæi SK14,0032577,0.2,200g,Kart. na prekl.,J.D. Gross,4.69,23.45,20099770,Hrana,4.69
Superieur èok. štapiæi SK14,0032577,0.2,200g,Kart. na prekl.,J.D. Gross,4.69,23.45,20729813,Hrana,4.69
"Leæa, OM 260g ",0032913,0.4,425ml,Limenka,Freshona,0.64,2.46,20243418,Hrana,0.75
Losion poslije sunèanja,0034641,0.495,500ml,Boca,Cien Sun,3.19,6.38,4056489368359,Kozmetika,3.19
Mlijeko za sunèanje ZF 20,0034646,0.257,250ml,PET-Boca,Cien Sun,4.49,17.96,4056489368823,Kozmetika,4.49
Yogurt SK4,0036211,0.15,150g,Posudica,MCENNEDY,0.69,4.6,20252823,Hrana,0.89
Kikiriki zaèinjen SK2,0037187,0.15,150g,Vrecica,Alesto,1.19,7.93,20005672,Hrana,1.19
Èips s okusom sira i luka,0038408,0.15,150g,Vrecica,Snack Day,1.15,7.67,20094713,Hrana,1.15
Èips s okusom sira i luka,0038408,0.15,150g,Vrecica,Snack Day,1.15,7.67,4056489317944,Hrana,1.15
Èips s okusom sira i luka,0038408,0.15,150g,Vrecica,Snack Day,1.15,7.67,40894898,Hrana,1.15
Maslac za tijelo SK7,0038468,0.394,400ml,Kozm.posudica,Cien,2.99,7.48,20261849,Kozmetika,2.99
Pasta za zube SK9,0038752,0.155,125ml,Tuba,Dentalux,1.05,8.4,20107017,Kozmetika,1.05
"Tamponi, razne vrste 56-80 kom. SK8",0038769,0.178,"56komad,64komad,80komad",Kart. na prekl.,Siempre,3.69,0.07,4056489722953,Proizvodi za kuæanstvo,3.69
"Tamponi, razne vrste 56-80 kom. SK8",0038769,0.178,"56komad,64komad,80komad",Kart. na prekl.,Siempre,3.69,0.07,4056489722960,Proizvodi za kuæanstvo,3.69
"Tamponi, razne vrste 56-80 kom. SK8",0038769,0.178,"56komad,64komad,80komad",Kart. na prekl.,Siempre,3.69,0.05,4056489849018,Proizvodi za kuæanstvo,3.69
Smoothie 250ml SK13,0038798,0.265,250ml,PET-Boca,Solevita,1.49,5.96,4304493262744,Hrana,1.49
Balsamico umak SK5,0039128,0.316,250ml,PET-Boca,Italiamo,1.39,5.56,20250539,Hrana,1.39
Balsamico umak SK5,0039128,0.316,250ml,PET-Boca,Italiamo,1.39,5.56,4056489035268,Hrana,1.39
Balsamico umak SK5,0039128,0.316,250ml,PET-Boca,Italiamo,1.39,5.56,4056489035275,Hrana,1.39
Balsamico umak SK5,0039128,0.316,250ml,PET-Boca,Italiamo,1.39,5.56,4056489035282,Hrana,1.39
Balsamico umak SK5,0039128,0.316,250ml,PET-Boca,Italiamo,1.39,5.56,4056489379737,Hrana,1.39
Balsamico umak SK5,0039128,0.316,250ml,PET-Boca,Italiamo,1.39,5.56,4056489441007,Hrana,1.39
Predjela na talijanski naèin SK16,0039135,0.288,"285g,300g",Staklo,Italiamo,2.29,7.63,20422745,Hrana,2.29
Kebab SK4,0039475,0.3,300g,Kart. na prekl.,1001 delights,3.49,11.63,20958404,Hrana,3.49
Maramice za njegu kontr. ploèe SK2,0039559,0.227,30komad,Pakovanje,W5,2.29,0.08,20199210,Proizvodi za kuæanstvo,2.29
Francuski senf SK3,0039577,0.2,200g,Staklo,Kania,1.79,8.95,20201845,Hrana,1.79
Suha hrana za maèke 2 kg SK17,0039750,2,2kg,Vrecica,Coshida,3.45,1.73,20858261,Proizvodi za kuæanstvo,3.45
Losion za tijelo,0039910,0.52,500ml,Boca,Cien,1.79,3.58,4335619127791,Kozmetika,1.99
Asia umaci SK6,0040086,0.284,250ml,Boca,Vitasia,1.49,5.96,20110840,Hrana,1.49
Asia umaci SK6,0040086,0.284,250ml,Boca,Vitasia,1.49,5.96,20196103,Hrana,1.49
Fusilli HWG,0043077,0.5,500g,Vrecica,Italiamo,2.29,4.58,4056489294795,Hrana,2.29
American style cookies SK1,0043358,0.175,175g,Vrecica,MCENNEDY,1.39,7.94,20519322,Hrana,1.39
Kornet èokolada-vanilija (76g),0044153,0.077,120ml,Pakovanje,Gelatelli,0.69,5.75,20332914,Hrana,0.69
Bijele peèenice,0044220,1,1kg,Vakumir. pakov.,Grillmeister,6.69,6.69,20290016,Hrana,6.69
Flips s kikirikijem,0044294,0.15,150g,Vrecica,Snack Day,0.99,6.6,20258085,Hrana,0.99
Flips s kikirikijem,0044294,0.15,150g,Vrecica,Snack Day,0.99,6.6,20806248,Hrana,0.99
Sred. za èišæenje naplataka/insek.,0044872,0.758,750ml,PET-Boca,W5,3.29,4.39,20581763,Sredstva za èišæenje,3.29
Kim,0045066,0.044,44g,Staklo,Kania,1.06,1.06,20249946,Hrana,1.06
Tilsiter komad 45% m.m.,0045107,0.4,400g,Pakovanje,Milbona,3.99,9.98,20260484,Hrana,3.99
Želatina u listiæima,0048330,0.02,20g,Pakovanje,Belbake,0.99,0.99,20271442,Hrana,0.99
Riža na mlijeku SK4,0051988,0.2,200g,Posudica,Pilos,0.79,3.95,20277673,Hrana,0.79
Pizza Margherita XXL,0052368,1.2,4x300g,Kart. na prekl.,Trattoria Alfredo,5.55,4.63,4056489450849,Hrana,5.55
Èetkice za zube XXL SK2,0054681,0.067,3komad,Pakovanje,Dentalux,1.09,0.36,20295431,Kozmetika,1.09
"Smrznuto povræe, SK7",0054707,0.45,450g,Vrecica,Freshona,1.59,3.53,4056489431572,Hrana,1.79
Premium sladoled u kornetu SK6,0054730,0.456,6x120ml,Kart. na prekl.,Gelatelli,3.99,5.54,20459710,Hrana,3.99
Korneti 6 kom. SK1,0054742,0.45,6x120ml,Kart. na prekl.,Gelatelli,2.99,4.15,4335619207851,Hrana,2.99
Secco Rosato,0054772,0.2,"0,2l",Limenka,Allini,0.99,4.95,4335619259645,Piæe,0.99
Dvostruka britvica XXL 25 komada,0054780,0.07,1komad,Blister,Cien men,4.29,4.29,20295738,Kozmetika,4.29
"Lješnjak sjeckani, prženi",0055046,0.2,200g,Vrecica,Belbake,2.69,13.45,20509552,Hrana,2.69
Basmati riža XXL,0055571,4.5,"4,5kg",Vrecica,Golden Sun,9.99,2.22,20302245,Hrana,9.99
Bomboni s okusom karamele,0057680,0.2,200g,Vrecica,Sweet Corner,1.59,7.95,20288532,Hrana,1.59
"Kukuruz s grahom, ATG: 285ml",0057770,0.43,425ml,Limenka,El Tequito,1.49,5.23,20302313,Hrana,1.39
Specijaliteti od kozjeg sira SK30,0058128,0.1,100g,Pakovanje,Duc de Coeur,1.71,17.1,20696634,Hrana,1.71
Secco Bianco,0058528,0.2,"0,2l",Limenka,Allini,0.99,4.95,4056489249313,Piæe,0.99
Integralni dvopek,0058561,0.6,600g,Pakovanje,Certossa,1.99,3.32,20015855,Hrana,2.39
Ledena kava SK6,0058658,0.261,250ml,Posudica,Milbona,1.09,4.36,20310110,Hrana,1.09
Extra hrskavi èips SK8,0059344,0.125,125g,Vrecica,Snack Day,1.39,11.12,20551841,Hrana,1.39
Extra hrskavi èips SK8,0059344,0.125,125g,Vrecica,Snack Day,1.39,11.12,20612016,Hrana,1.39
"Dvostruki èok. keksi, UTZ",0059738,0.15,150g,Pakovanje,Sondey,1.49,9.93,20462314,Hrana,1.49
Punjena predjela SK2 (ATG 150g),0059849,0.27,270g,Staklo,Eridanous,2.69,17.93,20532864,Hrana,2.59
Punjena predjela SK2 (ATG 150g),0059849,0.27,270g,Staklo,Eridanous,2.69,17.93,20532888,Hrana,2.59
Amerièka pizza SK3,0059859,0.44,440g,Kart. na prekl.,MCENNEDY,2.89,6.57,4056489451143,Hrana,2.89
BO Èokoladni donut,0059883,0.068,68g,Rasuto,,0.59,8.68,20549626,Hrana,0.59
Higijenski sprej za ruke i površine,0060140,0.224,250ml,PET-Boca,W5,1.85,7.4,20552770,Sredstva za èišæenje,1.85
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Limenka,Eridanous,0.79,19.75,20550080,Hrana,0.79
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Limenka,Eridanous,0.79,15.8,20550080,Hrana,0.79
Grèki zaèini SK5,0060253,0.041,"35g,40g,50g",Limenka,Eridanous,0.79,15.8,4056489723653,Hrana,0.79
"Sorbet Limun, 600g",0060695,0.6,1000ml,Plitica,Gelatelli,2.49,2.49,4056489234876,Hrana,2.49
Dezodorans SK21,0062781,0.117,200ml,Limenka,Cien,1.29,6.45,20321000,Kozmetika,1.29
Dezodorans SK21,0062781,0.117,200ml,Limenka,Cien,1.29,6.45,20321017,Kozmetika,1.29
Dezodorans muški SK15,0062785,0.124,200ml,Limenka,Cien MEN,1.29,6.45,20321079,Kozmetika,1.29
Dezodorans muški SK15,0062785,0.124,200ml,Limenka,Cien MEN,1.29,6.45,4056489525882,Kozmetika,1.29
Dezodorans muški SK15,0062785,0.124,200ml,Limenka,Cien MEN,1.29,6.45,4056489547174,Kozmetika,1.29
Dezodorans muški SK15,0062785,0.124,200ml,Limenka,Cien MEN,1.29,6.45,4335619063440,Kozmetika,1.29
Sredstvo za èišæenje kupaonice SK10,0062791,0.761,750ml,PET-Boca,W5,1.85,2.47,4056489168430,Sredstva za èišæenje,1.85
Tiramisu,0063494,0.5,500g,Pakovanje,Deluxe,3.79,7.58,20337179,Hrana,3.79
Wok povræe SK2,0065136,0.6,600g,Vrecica,Vitasia,2.29,3.82,20320423,Hrana,2.59
Mj. indijskih ora. i kikirikija SK2,0065163,0.2,200g,Vrecica,Alesto,2.29,11.45,20333737,Hrana,2.29
Family Cappuccino RFA SK10,0065268,0.5,500g,Limenka,Bellarom,3.95,7.9,20111410,Piæe,3.95
Smoki XXL sort. SK1,0065418,0.2,"150g,250g",Vrecica,Snack Day,1.19,4.76,20343132,Hrana,1.19
Müsli voæni SK1,0065568,1,1000g,Vrecica,Crownfield,3.49,3.49,20003234,Hrana,3.49
Salama sort. XXL SK1,0065617,0.24,240g,Atmos-Pakiranje,Dulano,2.49,10.38,20339562,Hrana,2.49
"Svijetlo pivo 4,9% XXL",0065665,4.025,"8x0,5l",Boca,Perlenbacher,6.93,1.73,20342166,Piæe,6.93
"Svijetlo pivo 4,9% XXL",0065665,4.025,"8x0,5l",Boca,Perlenbacher,6.93,1.73,20891954,Piæe,6.93
Muffins XXL SK2,0065674,0.45,450g,Pakovanje,Confiserie Firenze,3.39,7.53,20346348,Hrana,3.39
Krema za ruke SK6,0065854,0.109,"125ml,75ml",Tuba,Cien,1.19,15.87,20334338,Kozmetika,1.19
Krema za ruke SK6,0065854,0.109,"125ml,75ml",Tuba,Cien,1.19,9.52,4056489234098,Kozmetika,1.19
"Kremasti slad. štapiæ, bademi XXL",0065869,0.672,8x120ml,Kart. na prekl.,Bon Gelati,4.99,5.2,20348557,Hrana,4.99
Sladoled na štapiæu XXL,0065870,0.672,8x120ml,Kart. na prekl.,Bon Gelati,5.49,5.72,20348564,Hrana,5.49
Odstr. laka za nokte bez acet. SK8,0065975,0.173,200ml,Dozator,Cien,1.99,9.95,4056489320739,Kozmetika,1.99
Premium kornet Trio Fresh,0066016,0.45,6x120ml,Kart. na prekl.,Gelatelli,3.99,5.54,20346102,Hrana,3.99
Rošilj kobasice SK7,0067627,0.25,250g,Vakumir. pakov.,Grillmeister,2.59,10.36,4056489141730,Hrana,2.59
"Jastuèiæi punj. noug., vanil. SK44 ",0067777,0.375,375g,Vrecica,Crownfield,1.79,4.77,20353926,Hrana,1.99
Maramice za èišæenje XXL SK1,0070686,1.64,4x80komad,Pakovanje,W5,5.89,0.02,4056489268420,Proizvodi za kuæanstvo,5.89
Maramice za èišæenje XXL SK1,0070686,1.64,4x80komad,Pakovanje,W5,5.89,0.02,4056489268437,Proizvodi za kuæanstvo,5.89
"Tekuæi jogurt Proviact 1,0%",0070696,0.33,330g,PET-Boca,Pilos,0.95,2.88,20376789,Hrana,0.95
Složenac od krumpira i sira,0072137,0.4,400g,Kart. na prekl.,Deluxe,3.29,8.23,20382391,Hrana,3.29
"Teddy's Hit, krumpirov slani snack",0072721,0.055,55g,Vrecica,Snack Day,0.89,16.18,20389048,Hrana,0.89
Kalifornijske pistacije XXL,0072752,0.3,300g,Vrecica,Alesto,4.09,13.63,20359607,Hrana,4.39
Prženi kikiriki u tijestu XXL SK2,0072757,0.25,250g,Vrecica,Alesto,1.59,6.36,20589738,Hrana,1.59
Dimljeni losos XXL,0073887,0.22,220g,Pakovanje,Nautica,5.19,23.59,20388508,Hrana,6.69
Instant tjestenina SK1,0073974,0.054,"44g,50g,57g,66g",Posudica,Vitasia,1.29,22.63,20387334,Hrana,1.29
Instant tjestenina SK1,0073974,0.054,"44g,50g,57g,66g",Posudica,Vitasia,1.29,29.32,20387341,Hrana,1.29
Instant tjestenina SK1,0073974,0.054,"44g,50g,57g,66g",Posudica,Vitasia,1.29,22.63,20387358,Hrana,1.29
Instant tjestenina SK1,0073974,0.054,"44g,50g,57g,66g",Posudica,Vitasia,1.29,19.55,20387358,Hrana,1.29
Instant tjestenina SK1,0073974,0.054,"44g,50g,57g,66g",Posudica,Vitasia,1.29,29.32,4056489192237,Hrana,1.29
Instant tjestenina SK1,0073974,0.054,"44g,50g,57g,66g",Posudica,Vitasia,1.29,19.55,4056489192251,Hrana,1.29
Sredstvo za održavanje per. rublja,0074675,0.509,2x250ml,PET-Boca,W5,1.99,3.98,20421700,Sredstva za èišæenje,1.99
Meki sir,0074719,0.18,180g,Pakovanje,Duc de Coeur,2.59,14.39,20400811,Hrana,2.59
Njega lica za muškarce SK6 ,0076409,0.051,50ml,Kart. na prekl.,Cien,2.59,51.8,20516499,Kozmetika,2.59
Sladoled SK40,0076562,0.513,1000ml,Plitica,Bon Gelati,3.99,3.99,20707330,Hrana,3.99
